latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.90521,73.78515,333.2,0.41,0.37,2024-01-22,802,N20,VIIRS,n,2,292.08,8.47,D,0
32.41061,76.39665,300.39,0.48,0.4,2024-01-22,2025,N20,VIIRS,n,2,272.22,0.92,N,0
29.90969,74.94744,305.35,0.52,0.42,2024-01-22,2026,N20,VIIRS,n,2,271.91,0.67,N,2
31.55487,76.71174,330.65,0.45,0.39,2024-01-23,743,N20,VIIRS,n,2,296.76,2.03,D,0
31.11262,75.91282,327.97,0.49,0.4,2024-01-23,743,N20,VIIRS,n,2,283.89,1.83,D,0
31.21262,75.82068,331.3,0.49,0.4,2024-01-23,743,N20,VIIRS,n,2,285.14,2.19,D,0
31.44909,75.85098,339.46,0.49,0.4,2024-01-23,743,N20,VIIRS,n,2,286.22,4.98,D,0
29.91145,74.946,305.63,0.33,0.55,2024-01-23,2007,N20,VIIRS,n,2,278.48,0.58,N,2
31.2103,76.88709,326.02,0.51,0.49,2024-01-24,725,N20,VIIRS,n,2,289.48,4.43,D,0
31.68308,76.09145,332.37,0.55,0.51,2024-01-24,725,N20,VIIRS,n,2,290.91,5.31,D,0
32.28306,76.61998,304.17,0.53,0.67,2024-01-24,1948,N20,VIIRS,n,2,269.63,1.83,N,0
32.04314,76.80613,333.34,0.5,0.66,2024-01-25,846,N20,VIIRS,n,2,283.95,4.39,D,0
32.04352,76.81321,329.59,0.5,0.66,2024-01-25,846,N20,VIIRS,n,2,280.76,4.39,D,0
30.07934,75.6199,326.13,0.42,0.45,2024-01-26,827,N20,VIIRS,n,2,286.83,1.96,D,0
29.90793,74.95306,341.54,0.38,0.44,2024-01-26,827,N20,VIIRS,n,2,291.99,8.97,D,2
31.59468,75.85735,333.81,0.45,0.47,2024-01-26,827,N20,VIIRS,n,2,292.89,2.83,D,0
31.62211,76.04229,334.51,0.46,0.47,2024-01-26,827,N20,VIIRS,n,2,292.16,4.08,D,0
31.59655,75.85456,335.64,0.45,0.47,2024-01-26,827,N20,VIIRS,n,2,292.65,2.83,D,0
31.62281,76.03972,335.22,0.46,0.47,2024-01-26,827,N20,VIIRS,n,2,292.44,4.25,D,0
