date,AQI,PM2.5,PM10,NO2,SO2,CO,Ozone,fire_count,total_frp,mean_frp,max_frp,mean_wind_kmh,std_wind_kmh,total_frp_lag1,fire_count_lag1,mean_wind_lag1,fire_count_fw,total_frp_fw,weighted_frp_fw,mean_dist_km,min_dist_km,mean_bearing_deg,mean_wind_dir_deg,mean_wind_dir_cos,mean_wind_dir_sin,weighted_frp_lag1,fire_wind_ang_diff,fire_wind_alignment,fire_wind_alignment01,weighted_frp_aligned
2024-07-02,128,37.15,129.17,48.37,35.84,0.9,30.18,35.0,141.51,4.043142857142857,9.45,1.4333333333333331,0.8246299125993571,54.23,16.0,1.3966666666666665,35.0,141.51,0.40114728616156486,357.28889107290263,525.6987560779207,130.08517579924006,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.15636055595381587,158.18712445146343,-0.9284023493921083,0.03579882530394585,0.014360601618449834
2024-07-03,122,31.87,131.83,48.71,35.07,1.02,30.14,78.0,396.27,5.080384615384615,15.94,1.32875,0.7420319488023938,141.51,35.0,1.4333333333333331,78.0,396.27,1.2079806789147072,338.6434104670902,762.2015879715498,139.94136318981373,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.40114728616156486,148.33093706088977,-0.8510947156790621,0.07445264216046893,0.08993735322399701
2024-07-04,60,39.3,89.27,47.7,35.15,0.9,30.15,11.0,25.41,2.31,4.86,0.9979166666666668,0.4847498607903172,396.27,78.0,1.32875,11.0,25.41,0.1072747988195349,239.01949488691437,426.422514588164,133.80585597545326,288.2723002507035,0.07402385914381562,-0.2241909871702654,1.2079806789147072,154.46644427525024,-0.902332997356913,0.048833501321543515,0.005238604029922073
2024-07-05,88,22.78,62.75,46.9,35.32,0.85,30.4,4.0,13.52,3.38,3.84,1.3395833333333331,0.7994806964886462,25.41,11.0,0.9979166666666668,4.0,13.52,0.03622163592643604,372.09371451022184,741.7205460064562,123.00400377226373,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.1072747988195349,165.26829647843977,-0.9671271926108935,0.016436403694553237,0.0005953534305640356
2024-07-06,64,14.74,123.29,46.63,35.41,0.78,30.36,0.0,0.0,0.0,0.0,1.477,0.8982796423104966,13.52,4.0,1.3395833333333331,0.0,0.0,0.0,0.0,0.0,0.0,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.03622163592643604,-71.7276997492965,0.31353341780928007,0.6567667089046401,0.0
2024-07-07,76,11.53,77.71,45.99,35.66,0.68,30.22,0.0,0.0,0.0,0.0,0.745,0.7848885271170677,0.0,0.0,1.477,0.0,0.0,0.0,0.0,0.0,0.0,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.0,-71.7276997492965,0.31353341780928007,0.6567667089046401,0.0
2024-07-08,58,14.12,81.54,46.24,35.67,0.69,30.27,44.0,185.09,4.2065909090909095,12.57,1.3804347826086956,0.7608277684736753,0.0,0.0,0.745,44.0,185.09,0.6558658710859046,304.7769056612705,265.54043235164727,141.30026664500696,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.0,146.97203360569654,-0.8384046266546279,0.08079768667268605,0.052992445151307216
2024-07-09,105,50.66,121.38,53.32,35.86,1.18,30.2,111.0,326.24,2.9390990990990997,9.1,1.286086956521739,0.700024279646686,185.09,44.0,1.3804347826086956,111.0,326.24,1.4907423684081356,291.75378068611536,261.8748927388701,152.06543452480355,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.6558658710859046,136.20686572589995,-0.7218431621022668,0.13907841894886658,0.20733009165829228
2024-07-10,140,62.21,178.49,54.44,35.96,1.76,30.56,10.0,39.99,3.999,7.23,1.1504166666666666,0.8370313960485678,326.24,111.0,1.286086956521739,10.0,39.99,1.4186755684425012,157.7189064970535,273.20752205704446,120.15394548592934,288.2723002507035,0.07402385914381562,-0.2241909871702654,1.4907423684081356,168.11835476477415,-0.97857499262423,0.010712503687885011,0.015197567258852658
2024-07-11,108,34.43,120.46,50.73,36.0,1.09,31.76,72.0,399.18,5.544166666666666,16.04,0.9792857142857144,0.6483881112860898,39.99,10.0,1.1504166666666666,72.0,399.18,1.7902983650635629,272.3892298566305,358.9377307753766,146.29595798065685,288.2723002507035,0.07402385914381562,-0.2241909871702654,1.4186755684425012,141.97634227004664,-0.7877564765650514,0.10612176171747428,0.1899896165004592
2024-07-12,99,24.39,100.11,48.13,35.98,0.74,37.25,10.0,44.32,4.432,9.37,1.9183333333333328,1.6827298387278116,399.18,72.0,0.9792857142857144,10.0,44.32,0.20099710532525547,303.80310034643145,394.85333423001015,121.77664938704822,288.2723002507035,0.07402385914381562,-0.2241909871702654,1.7902983650635629,166.49565086365527,-0.9723521975177757,0.013823901241112158,0.00277856413376575
2024-07-13,96,27.19,98.64,49.9,36.22,0.95,40.64,4.0,14.06,3.515,6.46,1.24125,0.6410881544211611,44.32,10.0,1.9183333333333328,4.0,14.06,0.02608240306277542,533.5098218863585,1056.1162164837167,160.21976935918178,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.20099710532525547,128.0525308915217,-0.6163836938929451,0.19180815305352744,0.005002817558668621
2024-07-14,97,33.96,108.45,49.54,36.35,1.01,40.7,62.0,209.56,3.38,10.96,1.45,0.8273652961862331,14.06,4.0,1.24125,62.0,209.56,1.3976935131528418,272.4023824095948,214.8837504332884,142.85309981606264,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.02608240306277542,145.41920043464086,-0.8233266128850665,0.08833669355746676,0.12346762355864173
