date,avg_aqi,mean_temp,humidity,mean_wind_kmh,std_wind_kmh,fire_count,total_frp
2021-04-24,96.0,,,,,4356.0,32549.1
2021-04-25,217.0,,,,,5091.0,33561.28
2021-04-26,288.0,,,,,5016.0,40420.35
2021-04-27,295.0,,,,,6064.0,43994.61
2021-04-28,321.0,,,,,5803.0,47547.47
2021-04-29,303.0,,,,,3840.0,28002.85
2021-04-30,346.0,,,,,3261.0,20655.03
2021-05-01,214.0,,,,,2964.0,18096.68
2021-05-02,193.0,,,,,2617.0,12673.42
2021-05-03,258.0,,,,,2534.0,14307.67
2021-05-04,163.0,,,,,1820.0,13342.75
2021-05-05,151.0,,,,,2362.0,15525.19
2021-05-06,128.0,,,,,1609.0,10079.710000000001
2021-05-07,110.0,,,,,2565.0,12939.42
2021-05-08,167.0,,,,,4136.0,23308.14
2021-05-09,195.0,,,,,3087.0,19523.09
2021-05-10,88.0,,,,,2422.0,14428.37
2021-05-11,111.0,,,,,1641.0,9368.45
2021-05-12,114.0,,,,,923.0,5524.65
2021-05-13,105.0,,,,,754.0,3768.27
2021-05-14,130.0,,,,,1603.0,8722.22
2021-05-15,128.0,,,,,2234.0,13578.57
2021-05-16,177.0,,,,,1608.0,10324.5
2021-05-17,203.0,,,,,1253.0,7958.74
2021-05-18,92.0,,,,,550.0,3146.02
2021-05-19,72.0,,,,,389.0,1772.86
2021-05-20,48.0,,,,,741.0,4484.09
2021-05-21,59.0,,,,,860.0,5211.57
2021-05-22,70.0,,,,,906.0,5276.53
2021-05-23,297.0,,,,,984.0,4145.35
2021-05-24,134.0,,,,,711.0,3212.55
2021-05-25,122.0,,,,,522.0,2713.46
2021-05-26,137.0,,,,,1419.0,8610.26
2021-05-27,140.0,,,,,705.0,3155.92
2021-05-28,95.0,,,,,733.0,3034.83
2021-05-29,76.0,,,,,661.0,3985.28
2021-05-30,102.0,,,,,636.0,2844.95
2021-05-31,113.0,,,,,608.0,3241.59
2021-06-01,107.0,,,,,501.0,2721.6
2021-06-02,132.0,,,,,534.0,1992.97
2021-06-03,118.0,,,,,575.0,3361.86
2021-06-04,216.0,,,,,389.0,1871.22
2021-06-05,104.0,,,,,390.0,1477.39
2021-06-06,181.0,,,,,795.0,4312.99
2021-06-07,158.0,,,,,398.0,2087.32
2021-06-08,194.0,,,,,248.0,1069.88
2021-06-09,348.0,,,,,129.0,562.53
2021-06-10,218.0,,,,,97.0,402.31
2021-06-11,127.0,,,,,157.0,773.67
2021-06-12,114.0,,,,,86.0,362.58
2021-06-13,97.0,,,,,72.0,222.32
2021-06-14,88.0,,,,,35.0,141.67
2021-06-15,97.0,,,,,70.0,1709.06
2021-06-16,123.0,,,,,97.0,381.44
2021-06-17,85.0,,,,,54.0,168.34
2021-06-18,70.0,,,,,50.0,144.46
2021-06-19,63.0,,,,,70.0,265.87
2021-06-20,54.0,,,,,140.0,993.48
2021-06-21,55.0,,,,,229.0,5495.95
2021-06-22,108.0,,,,,149.0,548.82
2021-06-23,236.0,,,,,132.0,697.94
2021-06-24,129.0,,,,,138.0,365.16
2021-06-25,182.0,,,,,124.0,420.95
2021-06-26,138.0,,,,,188.0,482.31
2021-06-27,150.0,,,,,226.0,507.8
2021-06-28,136.0,,,,,259.0,750.76
2021-06-29,196.0,,,,,205.0,673.24
2021-06-30,215.0,,,,,173.0,689.93
2021-07-01,302.0,,,,,84.0,583.71
2021-07-02,280.0,,,,,125.0,484.23
2021-07-03,140.0,,,,,90.0,320.92
2021-07-04,126.0,,,,,88.0,306.9
2021-07-05,151.0,,,,,137.0,463.8
2021-07-06,239.0,,,,,131.0,399.03
2021-07-07,179.0,,,,,120.0,492.25
2021-07-08,196.0,,,,,117.0,384.47
2021-07-09,133.0,,,,,181.0,509.33
2021-07-10,82.0,,,,,146.0,443.21
2021-07-11,79.0,,,,,145.0,292.36
2021-07-12,77.0,,,,,71.0,169.92
2021-07-13,59.0,,,,,165.0,282.05
2021-07-14,75.0,,,,,166.0,408.29
2021-07-15,65.0,,,,,273.0,680.85
2021-07-16,70.0,,,,,195.0,569.06
2021-07-17,92.0,,,,,25.0,116.53
2021-07-18,92.0,,,,,27.0,72.08
2021-07-19,41.0,,,,,55.0,209.91
2021-07-20,77.0,,,,,22.0,144.61
2021-07-21,65.0,,,,,41.0,71.91
2021-07-22,58.0,,,,,52.0,2993.33
2021-07-23,75.0,,,,,31.0,120.59
2021-07-24,94.0,,,,,46.0,112.63
2021-07-25,213.0,,,,,167.0,373.75
2021-07-26,130.0,,,,,26.0,63.59
2021-07-27,90.0,,,,,21.0,51.43
2021-07-28,34.0,,,,,38.0,164.83
2021-07-29,49.0,,,,,10.0,57.07
2021-07-30,53.0,,,,,54.0,139.71
2021-07-31,55.0,,,,,43.0,129.78
2021-08-01,99.0,,,,,81.0,187.04
2021-08-02,76.0,,,,,69.0,191.84
2021-08-03,54.0,,,,,68.0,212.55
2021-08-04,59.0,,,,,49.0,167.01
2021-08-05,93.0,,,,,105.0,268.99
2021-08-06,104.0,,,,,100.0,227.96
2021-08-07,106.0,,,,,44.0,148.65
2021-08-08,88.0,,,,,158.0,538.74
2021-08-09,97.0,,,,,92.0,248.89000000000001
2021-08-10,101.0,,,,,181.0,431.21999999999997
2021-08-11,146.0,,,,,38.0,74.87
2021-08-12,151.0,,,,,18.0,66.72
2021-08-13,139.0,,,,,103.0,234.32
2021-08-14,166.0,,,,,65.0,144.58
2021-08-15,119.0,,,,,48.0,154.54
2021-08-16,115.0,,,,,38.0,87.36
2021-08-17,144.0,,,,,58.0,114.25
2021-08-18,146.0,,,,,25.0,41.18
2021-08-19,163.0,,,,,42.0,88.89
2021-08-20,107.0,,,,,17.0,37.97
2021-08-21,49.0,,,,,155.0,359.81
2021-08-22,53.0,,,,,186.0,532.77
2021-08-23,73.0,,,,,53.0,140.01
2021-08-24,86.0,,,,,163.0,431.44
2021-08-25,108.0,,,,,71.0,335.94
2021-08-26,125.0,,,,,24.0,59.0
2021-08-27,146.0,,,,,67.0,191.54
2021-08-28,131.0,,,,,70.0,144.73
2021-08-29,111.0,,,,,76.0,133.15
2021-08-30,67.0,,,,,23.0,44.84
